BugID,Plausible,Correct,Time,CRank,TestedPatch
bugs-dot-jar_ACCUMULO-4138_4d23d784_e0,TRUE,TRUE,1.16,6,6
bugs-dot-jar_CAMEL-4542_c408c3ed_e0,TRUE,TRUE,46.53,2,191
bugs-dot-jar_CAMEL-9217_e7ac45b6_e0,TRUE,UKN,39.17,17,57
bugs-dot-jar_FLINK-3189_a5b05566_e0,TRUE,TRUE,0.84,4,3
bugs-dot-jar_OAK-1035_b2ca8baa_e0,TRUE,UKN,3.73,26,12
bugs-dot-jar_OAK-1108_a8c925e0_e0,TRUE,UKN,9.6,13,13
bugs-dot-jar_OAK-1168_c05cec12_e0,TRUE,UKN,98.46,134,538
bugs-dot-jar_OAK-1289_0c3e3d70_e0,TRUE,UKN,32.43,61,159
bugs-dot-jar_OAK-1624_6d8146f8_e0,TRUE,UKN,12.78,44,74
bugs-dot-jar_OAK-1959_93c1aa40_e0,TRUE,UKN,97.97,2,435
bugs-dot-jar_OAK-3763_ab1a0cc2_e0,TRUE,UKN,2.71,59,2
bugs-dot-jar_OAK-421_36e70bd7_e0,TRUE,UKN,15.36,57,77
bugs-dot-jar_OAK-509_b896c926_e0,TRUE,UKN,2.58,4,4
bugs-dot-jar_OAK-782_45b110e1_e0,TRUE,UKN,7.58,1,23
bugs-dot-jar_MATH-1005_91d280b7_e0,TRUE,UKN,43.13,51,192
bugs-dot-jar_MATH-1136_cc4ab51e_e0,TRUE,UKN,14.77,14,117
bugs-dot-jar_MATH-1204_a56d4998_e0,TRUE,TRUE,10.36,2,58
bugs-dot-jar_MATH-309_0596e314_e0,TRUE,TRUE,37.54,2,135
bugs-dot-jar_MATH-329_6dd3724b_e0,TRUE,TRUE,0.82,11,3
bugs-dot-jar_MATH-482_6d6649ef_e0,TRUE,TRUE,12.77,25,64
bugs-dot-jar_MATH-618_2123f780_e0,TRUE,TRUE,0.75,1,2
bugs-dot-jar_MATH-704_3f645310_e0,TRUE,TRUE,103.36,10,851
bugs-dot-jar_MATH-781_3c4cb189_e0,TRUE,UKN,47.4,2,99
bugs-dot-jar_MATH-934_724795b5_e0,TRUE,UKN,50.71,57,344
bugs-dot-jar_MNG-4837_3fca2bb2_e0,TRUE,UKN,32.37,32,57
bugs-dot-jar_WICKET-2181_d79d0192_e0,TRUE,UKN,7.79,3,4
bugs-dot-jar_WICKET-3098_1b7afefc_e0,TRUE,TRUE,4.02,2,3
bugs-dot-jar_WICKET-3520_d1b62639_e0,TRUE,TRUE,7.35,3,6
bugs-dot-jar_WICKET-3845_afc7034d_e0,TRUE,TRUE,0.93,3,7
bugs-dot-jar_WICKET-3872_3feb0e3a_e0,TRUE,UKN,81.93,8,112
bugs-dot-jar_WICKET-4020_081cdeb2_e0,TRUE,UKN,2.71,2,1
bugs-dot-jar_WICKET-4276_32c76c4a_e0,TRUE,TRUE,1.65,8,4
bugs-dot-jar_WICKET-5176_34634266_e0,TRUE,UKN,24.79,4,69
bugs-dot-jar_WICKET-5209_55eb5212_e0,TRUE,UKN,91.36,89,78
bugs-dot-jar_WICKET-5226_8e518d88_e0,TRUE,UKN,21.67,59,111
bugs-dot-jar_WICKET-5359_61122bab_e0,TRUE,UKN,8.37,60,10
bugs-dot-jar_WICKET-5686_8e794fc4_e0,TRUE,TRUE,31.93,31,162
bugs-dot-jar_WICKET-5838_e93fdd5a_e0,TRUE,UKN,8.45,2,13
bugs-dot-jar_WICKET-5891_2d9ebf9a_e0,TRUE,TRUE,9.01,3,9
