BugID,Plausible,Correct,Time (min.),Crank,#Tested Patch
Chart_12_e0,TRUE,FALSE,2.31,6,2
Chart_13_e0,TRUE,FALSE,3.86,3,7
Chart_1_e0,TRUE,TRUE,2.92,2,4
Chart_20_e0,TRUE,TRUE,0.91,2,3
Chart_8_e0,TRUE,TRUE,0.91,3,1
Closure_10_e0,TRUE,TRUE,2.75,9,7
Closure_119_e0,TRUE,TRUE,15.71,114,138
Closure_126_e0,TRUE,TRUE,5.21,2,7
Closure_14_e0,TRUE,TRUE,7.31,46,57
Closure_33_e0,TRUE,FALSE,42.68,138,328
Closure_62_e0,TRUE,FALSE,3.24,4,20
Closure_63_e0,TRUE,FALSE,3.13,4,20
Closure_66_e0,TRUE,TRUE,17.96,93,160
Closure_70_e0,TRUE,TRUE,3.86,8,9
Closure_73_e0,TRUE,TRUE,2.71,1,4
Closure_83_e0,TRUE,TRUE,2.01,2,1
Closure_92_e0,TRUE,TRUE,4.53,4,7
Closure_93_e0,TRUE,TRUE,4.49,4,7
Lang_21_e0,TRUE,TRUE,2.75,6,63
Lang_24_e0,TRUE,TRUE,1.66,2,3
Lang_26_e0,TRUE,TRUE,1.05,11,1
Lang_33_e0,TRUE,TRUE,0.93,2,2
Lang_38_e0,TRUE,TRUE,0.9,2,3
Lang_39_e0,TRUE,TRUE,3.35,2,2
Lang_43_e0,TRUE,TRUE,3.12,2,2
Lang_44_e1,TRUE,TRUE,3.63,2,2
Lang_45_e0,TRUE,TRUE,2.36,2,3
Lang_49_e0,TRUE,TRUE,0.89,2,1
Lang_51_e0,TRUE,FALSE,1.92,5,56
Lang_54_e1,TRUE,TRUE,1.28,2,2
Lang_55_e0,TRUE,TRUE,1.03,6,10
Lang_58_e0,TRUE,TRUE,3.68,2,23
Lang_6_e0,TRUE,TRUE,6.99,29,26
Math_11_e0,TRUE,TRUE,7.14,73,43
Math_25_e0,TRUE,TRUE,3.08,6,13
Math_2_e0,TRUE,FALSE,3.02,20,24
Math_39_e0,TRUE,FALSE,4.22,4,3
Math_41_e0,TRUE,TRUE,1.61,8,22
Math_50_e0,TRUE,FALSE,2.95,3,9
Math_53_e0,TRUE,TRUE,1.15,1,2
Math_57_e0,TRUE,TRUE,2.22,11,1
Math_58_e0,TRUE,TRUE,1.01,2,1
Math_59_e0,TRUE,TRUE,2.97,24,18
Math_69_e0,TRUE,TRUE,1.47,2,8
Math_70_e0,TRUE,TRUE,0.81,2,1
Math_75_e0,TRUE,TRUE,0.93,11,3
Math_80_e0,TRUE,FALSE,1.26,12,9
Math_85_e0,TRUE,TRUE,1.86,5,4
Math_87_e0,TRUE,FALSE,10.18,177,115
Math_94_e0,TRUE,TRUE,0.98,2,53
