BugID,Plausible,Correct,Time (min.),Crank,#Tested Patch
Chart_13_e0,TRUE,FALSE,3.77,3,7
Chart_1_e0,TRUE,TRUE,36.11,2,132
Chart_20_e0,TRUE,TRUE,0.71,2,3
Chart_24_e0,TRUE,TRUE,11.24,158,121
Chart_26_e0,TRUE,TRUE,4.98,1,1
Chart_4_e0,TRUE,TRUE,9.56,106,14
Chart_5_e0,TRUE,FALSE,1.62,2,2
Chart_7_e0,TRUE,FALSE,24.89,62,256
Chart_8_e0,TRUE,TRUE,0.63,3,1
Closure_10_e0,TRUE,FALSE,7.18,4,23
Closure_115_e0,TRUE,FALSE,5.29,2,1
Closure_11_e0,TRUE,FALSE,73.77,3,386
Closure_126_e0,TRUE,TRUE,5.15,6,7
Closure_13_e0,TRUE,FALSE,5.84,84,21
Closure_14_e0,TRUE,TRUE,9,46,57
Closure_20_e0,TRUE,TRUE,3.82,8,6
Closure_38_e0,TRUE,FALSE,19.44,197,130
Closure_40_e0,TRUE,FALSE,5.44,2,3
Closure_58_e0,TRUE,FALSE,59.77,3,663
Closure_62_e0,TRUE,FALSE,21.54,4,194
Closure_63_e0,TRUE,FALSE,21.76,4,198
Closure_66_e0,TRUE,FALSE,7.36,64,37
Closure_70_e0,TRUE,TRUE,5.68,13,28
Closure_73_e0,TRUE,TRUE,16.5,7,146
Closure_83_e0,TRUE,TRUE,2.72,2,1
Lang_17_e0,TRUE,TRUE,1.21,2,2
Lang_21_e0,TRUE,TRUE,1.06,8,7
Lang_22_e0,TRUE,TRUE,0.95,8,2
Lang_24_e0,TRUE,TRUE,1.55,3,4
Lang_26_e0,TRUE,TRUE,0.87,11,1
Lang_27_e0,TRUE,FALSE,3.66,2,5
Lang_33_e0,TRUE,TRUE,0.88,2,2
Lang_38_e0,TRUE,TRUE,0.87,2,3
Lang_39_e0,TRUE,TRUE,2.93,2,2
Lang_40_e0,TRUE,TRUE,16.57,31,231
Lang_43_e0,TRUE,TRUE,3,2,2
Lang_44_e0,TRUE,FALSE,5.33,16,56
Lang_45_e0,TRUE,TRUE,2.34,3,6
Lang_49_e0,TRUE,TRUE,0.75,2,1
Lang_51_e0,TRUE,FALSE,2.64,11,60
Lang_52_e0,TRUE,TRUE,2.18,16,14
Lang_53_e0,TRUE,FALSE,3.83,35,24
Lang_54_e0,TRUE,TRUE,1.64,6,6
Lang_55_e0,TRUE,TRUE,0.79,6,3
Lang_58_e0,TRUE,FALSE,3.51,4,2
Lang_65_e0,TRUE,FALSE,1.81,33,3
Lang_6_e0,TRUE,TRUE,22.33,29,66
Math_106_e0,TRUE,TRUE,2.42,6,4
Math_11_e0,TRUE,TRUE,17.87,73,128
Math_25_e0,TRUE,TRUE,2.89,6,13
Math_28_e0,TRUE,FALSE,4.54,7,4
Math_2_e0,TRUE,FALSE,2.98,20,24
Math_30_e0,TRUE,FALSE,10.56,5,81
Math_33_e0,TRUE,FALSE,2.69,2,2
Math_39_e0,TRUE,FALSE,9.9,15,17
Math_40_e0,TRUE,FALSE,26.43,69,62
Math_41_e0,TRUE,TRUE,7.01,10,188
Math_42_e0,TRUE,TRUE,28.74,2,158
Math_50_e0,TRUE,FALSE,3.03,6,10
Math_53_e0,TRUE,TRUE,1.21,1,2
Math_57_e0,TRUE,TRUE,2.11,11,1
Math_58_e0,TRUE,TRUE,1.06,2,1
Math_59_e0,TRUE,TRUE,2.8,24,18
Math_69_e0,TRUE,TRUE,114.82,2,1754
Math_70_e0,TRUE,TRUE,0.68,2,1
Math_75_e0,TRUE,TRUE,0.87,11,3
Math_79_e0,TRUE,TRUE,1.16,4,4
Math_80_e0,TRUE,FALSE,1.31,12,9
Math_82_e0,TRUE,FALSE,8.93,2,59
Math_84_e0,TRUE,FALSE,74.49,2,306
Math_85_e0,TRUE,TRUE,1.88,6,4
Math_87_e0,TRUE,FALSE,33.12,177,382
Math_94_e0,TRUE,TRUE,0.87,2,7
Math_95_e0,TRUE,FALSE,0.6,5,7
Math_97_e0,TRUE,FALSE,28.98,10,226
Math_99_e0,TRUE,FALSE,29.98,10,230
Time_4_e0,TRUE,FALSE,39.29,22,141
