BugID,Plausible,Correct,Time,CRank,TestedPatch
bugs-dot-jar_ACCUMULO-4029_5ca779a0_e0,TRUE,UKN,4.14,1,1
bugs-dot-jar_ACCUMULO-4138_4d23d784_e0,TRUE,TRUE,1.31,2,8
bugs-dot-jar_CAMEL-5707_3f70d612_e0,TRUE,TRUE,97.93,74,68
bugs-dot-jar_CAMEL-7209_5f78c646_e0,TRUE,UKN,118.09,2,7
bugs-dot-jar_CAMEL-7459_57ba1bde_e0,TRUE,UKN,35.64,5,27
bugs-dot-jar_CAMEL-9217_e7ac45b6_e0,TRUE,TRUE,41.35,3,7
bugs-dot-jar_FLINK-3189_a5b05566_e0,TRUE,TRUE,6.94,13,68
bugs-dot-jar_OAK-1035_b2ca8baa_e0,TRUE,UKN,1.6,3,12
bugs-dot-jar_OAK-1108_a8c925e0_e0,TRUE,UKN,6.05,1,2
bugs-dot-jar_OAK-1168_c05cec12_e0,TRUE,UKN,20.25,16,56
bugs-dot-jar_OAK-1173_61c877d8_e0,TRUE,UKN,1.84,2,18
bugs-dot-jar_OAK-1178_84fb6b29_e0,TRUE,UKN,89.48,4,10
bugs-dot-jar_OAK-1289_0c3e3d70_e0,TRUE,UKN,39.08,13,35
bugs-dot-jar_OAK-1624_6d8146f8_e0,TRUE,UKN,10.25,1,5
bugs-dot-jar_OAK-1959_93c1aa40_e0,TRUE,UKN,111.22,1,7
bugs-dot-jar_OAK-3089_ba38c380_e0,TRUE,TRUE,1.19,4,8
bugs-dot-jar_OAK-3763_ab1a0cc2_e0,TRUE,UKN,4.73,3,9
bugs-dot-jar_OAK-421_36e70bd7_e0,TRUE,UKN,0.58,1,4
bugs-dot-jar_OAK-479_3270e761_e0,TRUE,UKN,1.76,19,32
bugs-dot-jar_OAK-509_b896c926_e0,TRUE,UKN,1.53,1,3
bugs-dot-jar_OAK-782_45b110e1_e0,TRUE,UKN,10.05,3,6
bugs-dot-jar_MATH-1005_91d280b7_e0,TRUE,UKN,42.8,164,387
bugs-dot-jar_MATH-1115_2a6c6409_e0,TRUE,UKN,2.43,6,15
bugs-dot-jar_MATH-1136_cc4ab51e_e0,TRUE,UKN,6.96,8,34
bugs-dot-jar_MATH-1204_a56d4998_e0,TRUE,TRUE,13.15,1,20
bugs-dot-jar_MATH-309_0596e314_e0,TRUE,TRUE,0.79,1,4
bugs-dot-jar_MATH-482_6d6649ef_e0,TRUE,TRUE,11.76,3,7
bugs-dot-jar_MATH-618_2123f780_e0,TRUE,TRUE,0.79,1,4
bugs-dot-jar_MATH-781_3c4cb189_e0,TRUE,TRUE,11.47,40,7
bugs-dot-jar_MATH-934_724795b5_e0,TRUE,UKN,64.68,82,64
bugs-dot-jar_MNG-4837_3fca2bb2_e0,TRUE,UKN,0.59,1,1
bugs-dot-jar_WICKET-2181_d79d0192_e0,TRUE,UKN,8.53,1,3
bugs-dot-jar_WICKET-3872_3feb0e3a_e0,TRUE,UKN,37.54,5,30
bugs-dot-jar_WICKET-4020_081cdeb2_e0,TRUE,UKN,3,2,7
bugs-dot-jar_WICKET-4276_32c76c4a_e0,TRUE,UKN,3.18,39,23
bugs-dot-jar_WICKET-4757_fd910746_e0,TRUE,UKN,3.52,1,1
bugs-dot-jar_WICKET-5056_56169634_e0,TRUE,TRUE,7.66,4,8
bugs-dot-jar_WICKET-5176_34634266_e0,TRUE,UKN,6.5,1,4
bugs-dot-jar_WICKET-5209_55eb5212_e0,TRUE,UKN,82.84,146,80
bugs-dot-jar_WICKET-5226_8e518d88_e0,TRUE,UKN,22.69,82,64
bugs-dot-jar_WICKET-5359_61122bab_e0,TRUE,UKN,35.99,1,1
bugs-dot-jar_WICKET-5838_e93fdd5a_e0,TRUE,UKN,45.11,1,4
bugs-dot-jar_WICKET-5891_2d9ebf9a_e0,TRUE,UKN,8.92,1,4
