BugID,Plausible,Correct,Time (min.),Crank,#Tested Patch
Chart_12_e0,TRUE,FALSE,5.74,73,60
Chart_13_e0,TRUE,FALSE,12.35,9,34
Chart_24_e0,TRUE,TRUE,12.61,44,157
Chart_8_e0,TRUE,TRUE,1.04,6,5
Closure_111_e0,TRUE,FALSE,9.49,1,1
Closure_126_e0,TRUE,FALSE,3.03,1,4
Closure_14_e0,TRUE,TRUE,14,7,14
Closure_57_e0,TRUE,FALSE,21.34,77,395
Closure_62_e0,TRUE,FALSE,20.68,66,101
Closure_63_e0,TRUE,FALSE,20.35,66,101
Closure_73_e0,TRUE,TRUE,52.21,68,629
Closure_7_e0,TRUE,FALSE,10.05,1,1
Lang_16_e0,TRUE,TRUE,5.21,7,30
Lang_21_e0,TRUE,TRUE,10.73,2,4
Lang_33_e0,TRUE,TRUE,0.84,1,2
Lang_38_e0,TRUE,FALSE,45.83,2,4
Lang_39_e0,TRUE,TRUE,1.51,2,101
Lang_43_e0,TRUE,TRUE,1.34,1,1
Lang_44_e0,TRUE,FALSE,8.14,159,248
Lang_45_e0,TRUE,TRUE,8.01,1,4
Lang_49_e0,TRUE,TRUE,0.8,2,2
Lang_51_e0,TRUE,FALSE,0.79,1,2
Lang_54_e0,TRUE,FALSE,0.75,2,4
Lang_59_e0,TRUE,TRUE,5.14,1,4
Lang_6_e0,TRUE,TRUE,3.46,14,22
Math_2_e0,TRUE,FALSE,7.5,12,18
Math_33_e0,TRUE,TRUE,10.56,40,7
Math_41_e0,TRUE,TRUE,86.66,69,162
Math_50_e0,TRUE,TRUE,1.48,1,5
Math_53_e0,TRUE,TRUE,1.24,1,4
Math_57_e0,TRUE,TRUE,22.41,112,420
Math_58_e0,TRUE,TRUE,91.01,1,1
Math_59_e0,TRUE,TRUE,10.76,3,7
Math_5_e0,TRUE,FALSE,50.27,79,64
Math_70_e0,TRUE,TRUE,12.63,4,1
Math_85_e0,TRUE,FALSE,16.72,9,3
Time_14_e0,TRUE,FALSE,37.31,8,8
Time_4_e0,TRUE,FALSE,3.26,7,4
