BugID,Plausible,Correct,Time (min.),Crank,#Tested Patch
Chart_13_e0,TRUE,FALSE,2.33,9,34
Chart_1_e0,TRUE,FALSE,49.24,1,4
Chart_24_e0,TRUE,TRUE,12.71,44,157
Chart_26_e0,TRUE,FALSE,3.51,7,15
Chart_5_e0,TRUE,FALSE,2.63,56,35
Chart_8_e0,TRUE,TRUE,1.21,6,5
Closure_115_e0,TRUE,FALSE,2.75,1,2
Closure_11_e0,TRUE,FALSE,94.35,65,82
Closure_126_e0,TRUE,FALSE,3.47,1,4
Closure_13_e0,TRUE,FALSE,2.65,9,9
Closure_14_e0,TRUE,TRUE,3.08,7,14
Closure_19_e0,TRUE,FALSE,20.5,2,25
Closure_38_e0,TRUE,FALSE,4.71,3,16
Closure_40_e0,TRUE,TRUE,4.12,2,12
Closure_57_e0,TRUE,FALSE,18.06,77,395
Closure_62_e0,TRUE,FALSE,20.52,66,101
Closure_63_e0,TRUE,FALSE,20.72,66,101
Closure_65_e0,TRUE,TRUE,50.95,183,1358
Closure_70_e0,TRUE,TRUE,2.91,1,4
Closure_73_e0,TRUE,TRUE,19.15,68,629
Closure_7_e0,TRUE,FALSE,4.51,27,22
Lang_12_e0,TRUE,FALSE,2.9,74,29
Lang_16_e0,TRUE,TRUE,5.65,7,30
Lang_21_e0,TRUE,TRUE,12.25,2,4
Lang_26_e0,TRUE,TRUE,2.63,26,58
Lang_27_e0,TRUE,FALSE,1.43,52,5
Lang_33_e0,TRUE,TRUE,1,1,2
Lang_37_e0,TRUE,FALSE,12.78,10,29
Lang_38_e0,TRUE,FALSE,0.98,2,4
Lang_39_e0,TRUE,TRUE,1.64,2,101
Lang_43_e0,TRUE,TRUE,0.93,1,1
Lang_44_e0,TRUE,FALSE,8.23,159,248
Lang_45_e0,TRUE,TRUE,7.06,1,4
Lang_49_e0,TRUE,TRUE,0.79,2,2
Lang_51_e0,TRUE,FALSE,0.9,1,2
Lang_52_e0,TRUE,TRUE,70.42,1,180
Lang_54_e0,TRUE,FALSE,0.86,2,4
Lang_58_e0,TRUE,FALSE,117.08,1,4
Lang_59_e0,TRUE,TRUE,4.93,1,4
Lang_6_e0,TRUE,TRUE,3.51,14,22
Math_28_e0,TRUE,FALSE,16.14,1,100
Math_2_e0,TRUE,FALSE,2.82,12,18
Math_30_e0,TRUE,FALSE,2.15,4,23
Math_32_e0,TRUE,FALSE,2.71,6,17
Math_33_e0,TRUE,TRUE,2.4,40,7
Math_40_e0,TRUE,FALSE,22.77,3,3
Math_41_e0,TRUE,TRUE,19.74,69,162
Math_42_e0,TRUE,TRUE,45.48,1,4
Math_50_e0,TRUE,TRUE,1.39,1,5
Math_53_e0,TRUE,TRUE,1.31,1,4
Math_57_e0,TRUE,TRUE,20.14,112,420
Math_58_e0,TRUE,TRUE,1.88,1,1
Math_59_e0,TRUE,TRUE,1.99,3,7
Math_70_e0,TRUE,TRUE,0.86,4,1
Math_79_e0,TRUE,FALSE,0.94,1,4
Math_80_e0,TRUE,FALSE,6.38,145,153
Math_84_e0,TRUE,FALSE,8.14,18,129
Math_85_e0,TRUE,FALSE,1.19,9,3
Math_95_e0,TRUE,FALSE,0.56,1,1
Time_17_e0,TRUE,FALSE,1.3,1,4
Time_4_e0,TRUE,FALSE,33.45,10,11
